1,1:1,بِسْمِ,In (the) name
2,1:1,اللَّهِ,"(of) Allah,"
3,1:1,الرَّحْمَنِ,"the Most Gracious,"
4,1:1,الرَّحِيمِ,the Most Merciful.
5,1:2,الْحَمْدُ,All praises and thanks
6,1:2,لِلَّهِ,"(be) to Allah,"
7,1:2,رَبِّ,the Lord
8,1:2,الْعَالَمِينَ,of the universe
9,1:3,الرَّحْمَنِ,"The Most Gracious,"
10,1:3,الرَّحِيمِ,the Most Merciful.
11,1:4,مَالِكِ,(The) Master
12,1:4,يَوْمِ,(of the) Day
13,1:4,الدِّينِ,(of the) Judgment.
14,1:5,إِيَّاكَ,You Alone
15,1:5,نَعْبُدُ,"we worship,"
16,1:5,وَإِيَّاكَ,and You Alone
17,1:5,نَسْتَعِينُ,we ask for help.
18,1:6,اهْدِنَا,Guide us
19,1:6,الصِّرَاطَ,"(to) the path,"
20,1:6,الْمُسْتَقِيمَ,the straight.
21,1:7,صِرَاطَ,(The) path
22,1:7,الَّذِينَ,(of) those
23,1:7,أَنْعَمْتَ,You have bestowed (Your) Favors
24,1:7,عَلَيْهِمْ,"on them,"
25,1:7,غَيْرِ,not (of)
26,1:7,الْمَغْضُوبِ,those who earned (Your) wrath
27,1:7,عَلَيْهِمْ,on themselves
28,1:7,وَلَا,and not
29,1:7,الضَّالِّينَ,(of) those who go astray.
30,2:1,الم,Alif Laam Meem
31,2:2,ذَلِكَ,That
32,2:2,الْكِتَابُ,(is) the book
33,2:2,لَا,no
34,2:2,رَيْبَ,doubt
35,2:2,فِيهِ,"in it,"
36,2:2,هُدًى,a Guidance
37,2:2,لِلْمُتَّقِينَ,for the God-conscious.
38,2:3,الَّذِينَ,Those who
39,2:3,يُؤْمِنُونَ,believe
40,2:3,بِالْغَيْبِ,"in the unseen,"
41,2:3,وَيُقِيمُونَ,and establish
42,2:3,الصَّلَوةَ,"the prayer,"
43,2:3,وَمِمَّا,and out of what
44,2:3,رَزَقْنَاهُمْ,We have provided them
45,2:3,يُنْفِقُونَ,they spend.
46,2:4,وَالَّذِينَ,And those who
47,2:4,يُؤْمِنُونَ,believe
48,2:4,بِمَا,in what
49,2:4,أُنْزِلَ,(is) sent down
50,2:4,إِلَيْكَ,to you
51,2:4,وَمَا,and what
52,2:4,أُنْزِلَ,was sent down
53,2:4,مِنْ,from
54,2:4,قَبْلِكَ,before you
55,2:4,وَبِالْءَاخِرَةِ,and in the Hereafter
56,2:4,هُمْ,they
57,2:4,يُوقِنُونَ,firmly believe.
58,2:5,أُولَئِكَ,Those
59,2:5,عَلَى,(are) on
60,2:5,هُدًى,Guidance
61,2:5,مِنْ,from
62,2:5,رَبِّهِمْ,"their Lord,"
63,2:5,وَأُولَئِكَ,and those -
64,2:5,هُمُ,they
65,2:5,الْمُفْلِحُونَ,(are) the successful ones.
66,2:6,إِنَّ,"Indeed,"
67,2:6,الَّذِينَ,those who
68,2:6,كَفَرُوا,"disbelieve[d],"
69,2:6,سَوَاءٌ,(it) is same
70,2:6,عَلَيْهِمْ,to them
71,2:6,ءَأَنْذَرْتَهُمْ,whether you warn them
72,2:6,أَمْ,or
73,2:6,لَمْ,not
74,2:6,تُنْذِرْهُمْ,"you warn them,"
75,2:6,لَا,not
76,2:6,يُؤْمِنُونَ,they believe.
77,2:7,خَتَمَ,Has set a seal
78,2:7,اللَّهُ,Allah
79,2:7,عَلَى,on
80,2:7,قُلُوبِهِمْ,their hearts
81,2:7,وَعَلَى,and on
82,2:7,سَمْعِهِمْ,"their hearing,"
83,2:7,وَعَلَى,and on
84,2:7,أَبْصَارِهِمْ,their vision
85,2:7,غِشَاوَةٌ,(is) a veil.
86,2:7,وَلَهُمْ,And for them
87,2:7,عَذَابٌ,(is) a punishment
88,2:7,عَظِيمٌ,great.
89,2:8,وَمِنَ,And of
90,2:8,النَّاسِ,the people
91,2:8,مَنْ,(are some) who
92,2:8,يَقُولُ,"say,"
93,2:8,ءَامَنَّا,"""We believed"
94,2:8,بِاللَّهِ,in Allah
95,2:8,وَبِالْيَوْمِ,and in the Day
96,2:8,الْءَاخِرِ,"[the] Last,"""
97,2:8,وَمَا,but not
98,2:8,هُمْ,they
99,2:8,بِمُؤْمِنِينَ,(are) believers (at all).
100,2:9,يُخَادِعُونَ,They seek to deceive
101,2:9,اللَّهَ,Allah
102,2:9,وَالَّذِينَ,and those who
